"Site","JanQ","FebQ","MarQ","AprQ","MayQ","JunQ","JulQ","AugQ","SeptQ","OctQ","NovQ","DecQ"
"lg135","118.50","161.00","213.00","384.00","754.50","722.50","401.50","124.00"," 63.45","151.50","142.50","119.00"
"lg137","  94.25","  82.20"," 325.00"," 469.00"," 590.50","1665.00"," 925.00"," 538.00"," 291.00"," 177.50"," 125.50","  83.65"
"lg138","18650","15500","13800","16800","10400"," 8490"," 5100"," 5380"," 5540"," 6140"," 9290","10800"
"lg139","13850","11800","10050","10400","10350"," 5835"," 4945"," 2555"," 1810"," 4225","12700","12150"
"lg140"," 6940"," 7220"," 7870"," 7090","10200"," 5690"," 3305"," 1395"," 1205"," 3495"," 4670"," 4435"
"lg141"," 8480","10700"," 9180","11600","11800"," 4640"," 3925"," 3625"," 1165"," 1003"," 2485"," 4030"
"lg143","15200","19900","13050","15700","13000"," 5865"," 3455"," 3260"," 1850"," 2920"," 4925","11900"
"lg144"," 3165"," 5500"," 6975","19650","34300","19000"," 4355"," 1730"," 1360"," 1945"," 3505"," 3005"
"lg145","1020.0"," 920.0"," 902.0","1100.0","2650.0","1680.0"," 988.5"," 911.5"," 782.5"," 955.0"," 944.5","1060.0"
"lg148"," 324.5"," 300.0"," 548.5"," 702.0"," 922.5","1960.0","1185.0"," 778.0"," 418.5"," 368.5"," 375.0"," 331.0"
"lg150"," 6955"," 6540"," 9975","12150","12500"," 9430"," 6920"," 3835"," 6390"," 8070"," 7380"," 6010"
"lg151"," 596.5"," 811.0","1390.0","3600.0","1975.0","1665.0","1485.0","1265.0"," 919.0","1335.0"," 807.0"," 628.5"
"lg152","5710","4600","3030","2650","2130","5120","5945","8245","8790","9060","7465","6945"
"lg153"," 616.5"," 752.0"," 836.0","2200.0","1315.0","1260.0"," 616.5"," 694.0"," 729.5"," 725.5"," 600.0"," 600.5"
"lg154"," 623.0"," 605.0"," 687.5"," 935.5","1965.0","2930.0","1060.0"," 820.0"," 768.0"," 703.0"," 664.0"," 635.0"
"lg155"," 9440"," 8700","11400","12500","13800","10550"," 9525"," 6235"," 7725","12045","10750"," 8975"
"lg156"," 5595","10100","17100","28400","41050","25000","14600","11050"," 6930"," 3670"," 5055"," 4855"
"lg157","4430","4480","4380","4940","4295","4050","3850","3815","3910","4230","4470","4480"
"lg158","45600","36400","26500","31700","16450","13200"," 7575"," 7465"," 8905","11500","27300","26600"
"lg159"," 384.5"," 398.0","1085.0"," 490.5"," 297.0"," 342.0"," 228.0"," 195.0"," 153.0"," 160.0"," 207.5"," 268.0"
"lg160"," 6555","11400","19450","31600","42850","25500","14800","11250"," 7230"," 3850"," 5455"," 5205"
"lg161","5320","5760","5685","6910","5505","4615","4300","4260","4340","4705","4895","5200"
"lg164","49000","40300","30050","38800","18750","15800"," 8630"," 7590"," 8730","10450","22650","27750"
"lg165","25350","21500","22300","27900","23850","10900"," 7205"," 6215"," 3380"," 5150","13650","15850"
"lg166"," 822.5"," 807.0","3590.0","2380.0","1310.0"," 936.0"," 733.5"," 462.5"," 809.5"," 711.0"," 603.0"," 667.5"
"lg167","205.00","168.00","217.00","254.50","246.00","283.00"," 80.20"," 57.50"," 69.05"," 89.20"," 67.40"," 91.20"
"lg168","196.50","272.00","293.50","343.50","278.50","186.00"," 96.20","103.50","146.50","131.00","112.00","122.85"
"lg169","227.50","265.00","155.50","370.50","406.50","146.50"," 74.45","299.50","191.00","149.00","143.00","130.50"
"lg170","10650","10500","18150","15700"," 8255"," 6785"," 6505"," 6800"," 7405"," 6190"," 5295"," 7610"
"lg171"," 585.0"," 626.0"," 779.0","1001.5","2116.5"," 964.0"," 805.0"," 645.0"," 555.0"," 465.0"," 819.0"," 748.0"
"lg172"," 3550"," 3610"," 4180"," 5975","10850","12900"," 4040"," 2125"," 2695"," 3780"," 4315"," 3430"
"lg173","2135","2200","1955","1805","1755","3860","2060","1930","1955","1620","1620","2090"
"lg174","14.250","16.800","20.450","18.850"," 2.640"," 1.325"," 1.210"," 0.915"," 3.355"," 4.710"," 9.345","14.470"
"lg175","4590","4910","4940","6625","8215","8225","5390","4445","4295","4025","4495","4740"
"lg176"," 3015"," 2780"," 3030"," 3245"," 9470","12850"," 4775"," 3430"," 3475"," 4240"," 3480"," 3420"
