"Site","Jan_max","Feb_max","Mar_max","Apr_max","May_max","Jun_max","Jul_max","Aug_max","Sep_max","Oct_max","Nov_max","Dec_max"
"sm43",4.575,3.6,7.025,12.5,15.775,18.15,19.725,19.175,17.25,11.85,7,4.75
"sm44",13.8,15.375,16.925,18.15,20.65,22.05,23.275,23.625,23.025,21.15,15.725,13.875
"sm45",15.725,17.225,18.675,19.625,22.475,23.7,24.65,24.6,23.725,22.5,18.425,16
"sm46",13.875,15.65,17.25,19.125,22.375,23.925,25.325,25.2,23.675,22.275,16.675,13.85
"sm49",3.425,4.025,5.575,7.825,9.325,12,14,14.625,13.6,8.9,5.6,3.8
"sm50",5.1,4.75,5.15,7.5,10.45,11.325,12.95,13.325,13.175,11.975,9.425,6.65
"sm51",7.7,7.925,10.05,13.525,17.675,21.35,22.275,20.025,18.825,16.95,11.225,9.2
"sm53",2.45,2.3,4.65,11.375,17.475,20.275,23.1,22,19.725,16.425,11.05,4.5
"sm55",19.9,22.125,24.25,26.2,29.8,30.85,30.95,30.175,29.675,28.55,23.55,20.15
"sm57",1.425,1.5,2.375,3.7,6.8,10.925,13.4,13.475,11.6,6.775,3.65,1.3
"sm58",5.275,5.05,5.125,6.45,10.175,12.75,14.875,15.675,14,9.675,8.4,5.725
"sm59",14.775,16.325,18.375,19.85,23.375,24.95,26.175,25.95,24.6,22.825,16.825,14.075
"sm60",5.9,6.175,5.65,7.8,13.175,15.725,17.35,17.75,15.425,10.75,9.125,6.775
"sm61",8.95,11.05,14.7,19.475,23.45,25.675,28.25,26.575,24.8,22.1,15.025,9.875
"sm62",6.225,5.925,5.425,7.175,11.25,14.175,16.775,17.35,15.725,11.225,8.875,6.775
"sm64",5.35,5.45,4.95,6.925,10.725,13.5,16.525,17.5,15.5,10.425,8.35,6.075
"sm65",13.85,16,18.075,20.175,23.875,25.375,26.8,26.45,24.925,23.125,16.675,13.475
"sm66",8.475,8.675,10.175,14.3,18.825,21.6,22.175,22.375,19.725,14.35,12.075,9.4
"sm67",15.525,17.275,18.25,19.675,22.25,23.15,24.275,24.2,23.325,22.075,17.625,15.675
"sm68",12.025,16.175,18.025,19.775,23.675,24.875,26.45,26.125,24.7,23.075,16.775,13.05
"sm69",1.1,2.275,6.775,14.15,21.425,24.575,25.9,24.525,22.125,15.525,7.35,3.325
"sm70",10.575,12.975,14.75,16.85,19.5,20.825,22.85,22.4,21.475,20.25,14.375,10.8
"sm71",3.175,4.1,4.425,6.175,9.375,13.425,16.1,16.425,14.775,10.6,6.8,4.025
